name,birth_place
László Nemes,"Budapest, Hungary"
Raam Reddy,NaN
Danis Tanovic,"Zenica, Bosnia and Herzegovina, Yugoslavia"
Josephine Decker,NaN
Josh and Benny Safdie,NaN
Miranda July,"Barre, Vermont, USA"
Sara Fattahi,NaN
Avi Nesher,"Ramat Gan, Israel"
Joseph Cedar,"New York City, New York, USA"
Eytan Fox,"New York City, New York, USA"
Jennifer Kent,"Brisbane, Queensland, Australia"
Kim Ki-duk,"Bonghwa, South Korea"
Aleksandr Sokurov,"Podorvikha, Irkutskaya oblast, RSFSR, USSR [now Russia]"
Vincent Paronnaud and Marjane Satrapi,NaN
Vincent Paronnaud and Marjane Satrapi,NaN
George Miller,"Chinchilla, Queensland, Australia"
Brad Bird and Jan Pinkava,NaN
Brad Bird and Jan Pinkava,NaN
Steven Spielberg,"Cincinnati, Ohio, USA"
Lee Chang-dong,"Daegu, South Korea"
Claire Denis,"Paris, France"
Tommy Lee Jones,"San Saba, Texas, USA"
Takeshi Kitano,"Tokyo, Japan"
Alain Gomis,"Paris, France"
Ken Loach,"Nuneaton, Warwickshire, England, UK"
Newton I. Aduaka,"Ogidi, Nigeria"
Cameron Crowe,"Palm Springs, California, USA"
Aleksey German,"Leningrad, Russian SFSR, USSR [now St. Petersburg, Russia]"
Larry Charles,"Brooklyn, New York City, New York, USA"
Don Hertzfeldt,"Fremont, California, USA"
Alex Garland,"London, England, UK"
Joss Whedon,"New York City, New York, USA"
Neill Blomkamp,"Johannesburg, South Africa"
Whit Stillman,"Washington, District of Columbia, USA"
Lav Diaz,"Datu Paglas, Maguindanao, Mindanao, Philippines"
Kiyoshi Kurosawa,"Kobe, Japan"
Takahisa Zeze,"Tochigi, Japan"
David O. Russell,"Manhattan, New York City, New York, USA"
Jørgen Leth and Lars von Trier,NaN
Jørgen Leth and Lars von Trier,NaN
Paweł Pawlikowski,"Warsaw, Mazowieckie, Poland"
Hirokazu Koreeda,"Tokyo, Japan"
Damián Szifrón,"Ramos Mejía, Buenos Aires, Argentina"
Bouli Lanners,"Moresnet-Chapelle, Belgium"
John Akomfrah,"London, England, UK"
Emad Burnat and Guy Davidi,NaN
Emad Burnat and Guy Davidi,NaN
Emad Burnat and Guy Davidi,NaN
"Boo Junfeng, Eric Khoo, Jack Neo, K. Rajagopal, Tan Pin Pin, Royston Tan and Kelvin Tong",NaN
